location;date;new_cases;new_deaths;icu_patients;hosp_patients;people_fully_vaccinated;population;icu_in_hosp;vacc_percentage;deaths_in_infec;;icu_in_hosp;vacc_percentage;deaths_in_infec
Bulgaria;18.01.2022;11181;91;541;5223;1967200;6896655;;;;;;;
Bulgaria;19.01.2022;10160;93;554;5259;1970165;6896655;;;;;;;
Bulgaria;20.01.2022;8932;87;542;5208;1973224;6896655;;;;;;;
Bulgaria;21.01.2022;9874;86;530;5198;1975203;6896655;;;;;;;
Bulgaria;22.01.2022;6630;32;547;5164;1975836;6896655;;;;;;;
Bulgaria;23.01.2022;2847;28;547;5216;1976308;6896655;;;;;;;
Bulgaria;24.01.2022;11049;132;550;5309;1977975;6896655;;;;;;;
Bulgaria;25.01.2022;12399;73;517;5327;1980511;6896655;;;;;;;
Bulgaria;26.01.2022;9916;70;523;5347;1983763;6896655;;;;;;;
Bulgaria;27.01.2022;9874;78;519;5372;1987545;6896655;;;;;;;
Bulgaria;28.01.2022;9871;71;520;5455;1991648;6896655;;;;;;;
Bulgaria;29.01.2022;5875;33;509;5526;1992848;6896655;;;;;;;
Bulgaria;30.01.2022;2602;39;513;5684;1993529;6896655;;;;;;;
Bulgaria;31.01.2022;10151;158;506;5730;1996484;6896655;;;;;;;
;;204857;2363;16261;157146;;;0,103477021;0,289485845;0,011534876;;;;
